"Linie";"Tram/Bus";"von";"via";"nach "
3;"Tram";"Weissenbühl";;"Bern Bahnhof"
3;"Tram";"Bern Bahnhof";;"Weissenbühl"
6;"Tram";"Fischermätteli";"Bern Bahnhof";"Worb Dorf"
6;"Tram";"Worb Dorf ";"Bern Bahnhof ";"Fischermätteli"
7;"Tram";"Bümpliz ";"Bern Bahnhof ";"Ostring"
7;"Tram";"Ostring ";"Bern Bahnhof ";"Bümpliz"
8;"Tram";"Brünnen Westside Bahnhof ";"Bern Bahnhof ";"Saali"
8;"Tram";"Saali ";"Bern Bahnhof ";"Brünnen Westside Bahnhof"
9;"Tram";"Wabern ";"Bern Bahnhof ";"Wankdorf Bahnhof"
9;"Tram";"Wankdorf Bahnhof ";"Bern Bahnhof ";"Wabern"
10;"Bus";"Köniz Schliern ";"Bern Bahnhof ";"Ostermundigen Rüti"
10;"Bus";"Ostermundigen Rüti ";"Bern Bahnhof ";"Köniz Schliern"
11;"Bus";"Holligen ";"Bern Bahnhof ";"Neufeld P+R"
11;"Bus";"Neufeld P+R ";"Bern Bahnhof ";"Holligen"
12;"Bus";"Länggasse ";"Bern Bahnhof ";"Zentrum Paul Klee"
12;"Bus";"Zentrum Paul Klee ";"Bern Bahnhof ";"Länggasse"
16;"Bus";"Köniz Zentrum ";;"Gurten Gartenstadt"
16;"Bus";"Gurten Gartenstadt";;"Köniz, Zentrum"
17;"Bus";"Köniz Weiermatt";;"Bern Bahnhof"
17;"Bus";"Bern Bahnhof";;"Köniz Weiermatt"
19;"Bus";"Blinzern ";"Bern Bahnhof ";"Elfenau"
19;"Bus";"Elfenau ";"Bern Bahnhof ";"Blinzern"
20;"Bus";"Bern Bahnhof";;"Wankdorf Bahnhof"
20;"Bus";"Wankdorf Bahnhof";;"Bern Bahnhof"
21;"Bus";"Bern Bahnhof";;"Bremgarten"
21;"Bus";"Bremgarten";;"Bern Bahnhof"
26;"Bus";"Breitenrain ";"Wylergut ";"Breitenrain"
27;"Bus";"Weyermannshaus Bad";;"Niederwangen Bahnhof"
27;"Bus";"Niederwangen Bahnhof";;"Weyermannshaus Bad"
28;"Bus";"Weissenbühl Bahnhof";;"Wankdorf Bahnhof"
28;"Bus";"Wankdorf Bahnhof";;"Weissenbühl Bahnhof"
29;"Bus";"Niederwangen Bahnhof";;"Wabern Lindenweg"
29;"Bus";"Wabern Lindenweg";;"Niederwangen Bahnhof"
30;"Bus";"Bern Bahnhof ";"Marzilistrasse ";"Bern Bahnhof"
31;"Bus";"Europaplatz Bahnhof";;"Niederwangen Erle"
31;"Bus";"Niederwangen Erle";;"Europaplatz Bahnhof"
32;"Bus";"Riedbach Bahnhof";;"Bachmätteli"
32;"Bus";"Bachmätteli";;"Riedbach Bahnhof"
160;"Bus";"Konolfingen Dorf ";" Bern Bahnhof ";"Bern Flughafen"
160;"Bus";"Bern Flughafen";;"Konolfingen Dorf"
331;"Bus";"Belp Bahnhof";;"Belp Riedli"
331;"Bus";"Belp Riedli";;"Belp Bahnhof"
332;"Bus";"Belp Bahnhof";;"Belp Aemmenmatt"
332;"Bus";"Belp Aemmenmatt";;"Belp Bahnhof"
